article_title,source_title,abstract,journal_abbreviation,publication_date,publication_year,doi,wo_s_categories,ids_number,ut_unique_wos_id
The Role of Trust in Communicating Scientific Consensus and the Environmental Benefits of Genetically Engineered Crops: Experimental Evidence of a Backfire Effect,ENVIRONMENTAL COMMUNICATION-A JOURNAL OF NATURE AND CULTURE,"Genetically engineered (GE) crops are likely to be one solution when it comes to balancing the needs of a growing human population and changing climate. Recent data suggest that many U.S. adults believe that GE foods are risky for human health and the environment, despite scientific consensus that they are no more harmful to human health or the environment than conventionally bred crops. While some evidence suggests that consensus messaging could be a significant factor in publics' perceptions about technologies like GE, the effect of communicating scientific consensus and under different conditions remains unclear. We test message effectiveness in terms of individuals' consensus perceptions and beliefs about the environmental risks and benefits of GE technology. We find that consensus messaging reduces perceived environmental risks of GE crops, and that supplementing a consensus message with benefits information reduces perceived environmental risks and increases anticipated benefits. We find an interaction effect for trust in scientists, such that those who have lower trust in industry scientists exhibit a backfire effect when exposed to consensus information.",ENVIRON COMMUN,JAN 2,2023,10.1080/17524032.2023.2165523,Communication; Environmental Studies,9C5WX,WOS:000910731300001
Anthropogenic climate change has altered primary productivity in Lake Superior,NATURE COMMUNICATIONS,"Anthropogenic climate change has the potential to alter many facets of Earth's freshwater resources, especially lacustrine ecosystems. The effects of anthropogenic changes in Lake Superior, which is Earth's largest freshwater lake by area, are not well documented (spatially or temporally) and predicted future states in response to climate change vary. Here we show that Lake Superior experienced a slow, steady increase in production throughout the Holocene using (paleo)productivity proxies in lacustrine sediments to reconstruct past changes in primary production. Furthermore, data from the last century indicate a rapid increase in primary production, which we attribute to increasing surface water temperatures and longer seasonal stratification related to longer ice-free periods in Lake Superior due to anthropogenic climate warming. These observations demonstrate that anthropogenic effects have become a prominent influence on one of Earth's largest, most pristine lacustrine ecosystems.",NAT COMMUN,JUN 9,2017,10.1038/ncomms15713,Multidisciplinary Sciences,EX1EQ,WOS:000402963800002
Using the Plan-Do-Study-Act model: Pacesetters experiences,INTERNATIONAL JOURNAL OF HEALTH CARE QUALITY ASSURANCE,"Purpose - This article aims to analytically review the Plan-Do-Study-Act (PDSA) model used in the Pacesetters national programme evaluation. Design/methodology/approach - The evaluation team's two-fold role is outlined: supporting project teams to develop PDSA plans and collect evaluation data. Four case studies are used to show the PDSA model's application and effect in a participatory action learning approach. Despite limitations, it is clear that all four case studies illustrate the PDSA model's potential benefits in a participatory evaluation approach, which involves public and patients. Findings - The model's effectiveness is premised on several enabling factors such as: teams appreciating the model; a climate that values all learning and open to re-planning; engaging any external evaluators whose role is clearly communicated to all project stakeholders in a timely fashion. Practical implications - There are clear intentions to promote evidence-based commissioning in the UK that values patient and public involvement. The PDSA model has the potential to test and implement changes in real work-place settings and to involve the public in evaluation. Originality/value - Case study analysis identifies new reflections on the PDSA model's use to support innovative NHS practice development with public involvement in a participatory",INT J HEALTH CARE Q,NA,2013,10.1108/IJHCQA-09-2011-0053,Health Policy & Services,V86PA,WOS:000212598900014
FOREST BELTS IN SOUTH-WEST OF ROMANIA (OLTENIA REGION),"ECOLOGY, ECONOMICS, EDUCATION AND LEGISLATION, VOL III","The purpose of this paper is to highlight the evolution of windbreaks areas in Romania, especially in the South-West Oltenia area, the importance and the measures that can be applied in order to increase these areas. Due to climate change and massive deforestation, some of the most serious problems facing most frequently Romania and in particular the SW Oltenia are: desertification and landslides. The role of forest curtains is found primarily in the benefits of agriculture, protecting human settlements and ways of communication and transport and not least the environmental benefits. The period taken into analysis was 8 years starting from 2005 and ending with 2013. Analysis was carried in the dynamics of some indicators such as: surface of the forest fund, the surface subjected to the regeneration process, the surface of the forest curtains and were contextual presented their interpretations. In Romania the forest fund covers an area representing approx. 27.3% of the total land surface below the European Union average, which is around 32%. The share of forest area in the South-West Oltenia is 12.4% of the total forest in Romania. The area subject to regeneration process, in the analysed period decreases and also in Romania forest area decreased from 36% in the nineteenth century to 27% today. The areas subjected to the regeneration process in Romania decreased by 12.2% in 2013 compared to 2005. It also note that natural regeneration decreased abruptly. It is recommended to increase the area subjected to natural regeneration because it is more efficient from economic perspective. In Romania there are about 2.2 million ha of degraded agricultural land, which are no longer suitable for an efficient agriculture and are recommended to be introduced into the forestry fund. In the South-West Oltenia setting up of protective forest curtains is a necessity. Reality ascertained ever since 1880. In this region it was proposed setting up of forest curtains on a surface of 12009 ha but being achieved so far only 63 ha. In order to increase the area covered by forest curtains it is recommended give some facilities to the landowners who give their consent for the setup of these curtains.",INT MULTI SCI GEOCO,NA,2015,NA,"Geosciences, Multidisciplinary",BE3JU,WOS:000370815400040
Climate-induced variations in global wildfire danger from 1979 to 2013,NATURE COMMUNICATIONS,"Climate strongly influences global wildfire activity, and recent wildfire surges may signal fire weather-induced pyrogeographic shifts. Here we use three daily global climate data sets and three fire danger indices to develop a simple annual metric of fire weather season length, and map spatio-temporal trends from 1979 to 2013. We show that fire weather seasons have lengthened across 29.6 million km(2) (25.3%) of the Earth's vegetated surface, resulting in an 18.7% increase in global mean fire weather season length. We also show a doubling (108.1% increase) of global burnable area affected by long fire weather seasons (>1.0 sigma above the historical mean) and an increased global frequency of long fire weather seasons across 62.4 million km(2) (53.4%) during the second half of the study period. If these fire weather changes are coupled with ignition sources and available fuel, they could markedly impact global ecosystems, societies, economies and climate.",NAT COMMUN,JUL,2015,10.1038/ncomms8537,Multidisciplinary Sciences,CO0OV,WOS:000358852600002
Canadian Weathercasters' Current and Potential Role as Climate Change Communicators,ENVIRONMENTAL COMMUNICATION-A JOURNAL OF NATURE AND CULTURE,"Climatologists worldwide are calling for urgent action to manage climate change, but public engagement remains a significant challenge. This lack of engagement is often attributed to psychological distance: climate change is perceived as something happening far away, to other people, or in a hypothetical future. TV weathercasters are ideally situated to communicate the geographically and temporally proximate impacts of climate change and increase public engagement. This study explores the status of climate change reporting amongst weathercasters in Canada, where no such research has been conducted. The respondents suggested that many, but not all, weathercasters are engaged with climate change and interested in presenting local, climate-related content; however, their on-air climate change communication behavior is highly limited. This analysis builds on research conducted with American weather broadcaster by indicating that Canadian weathercasters share their potential as effective climate change communicators, but are highly uncertain about their capacity to support this role.",ENVIRON COMMUN,AUG 18,2019,10.1080/17524032.2018.1557726,Communication; Environmental Studies,IM1EN,WOS:000477731400008
Building Interfaces That Work: A Multi-stakeholder Approach to Air Pollution and Climate Change Mitigation,COMMUNICATING CLIMATE-CHANGE AND NATURAL HAZARD RISK AND CULTIVATING RESILIENCE: CASE STUDIES FOR A MULTI-DISCIPLINARY APPROACH,"Air pollution and climate change are two major environmental problems. These issues are not only inextricably linked with regard to their effects and mitigation options but also through their causes that include human behavior, infrastructures, technology, and other factors. This implies that societal transformation to a sustainable human-atmosphere relationship will require the involvement of the many facets of society for discussions of normative and value-related issues for the codesign of salient and legitimate solutions. We describe the ClimPol project and a specific subproject Mobility and Climate, which create integrated and long-lasting strategies by applying a transdisciplinary approach together with the framework of coupled-human-atmosphere-systems-thinking",ADV NAT TECH HAZ RES,NA,2016,10.1007/978-3-319-20161-0_5,"Engineering, Environmental; Meteorology & Atmospheric Sciences",BE2IS,WOS:000369387100007
Community-Based Research as a Mechanism to Reduce Environmental Health Disparities in American Indian and Alaska Native Communities,INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH,"Racial and ethnic minority communities, including American Indian and Alaska Natives, have been disproportionately impacted by environmental pollution and contamination. This includes siting and location of point sources of pollution, legacies of contamination of drinking and recreational water, and mining, military and agricultural impacts. As a result, both quantity and quality of culturally important subsistence resources are diminished, contributing to poor nutrition and obesity, and overall reductions in quality of life and life expectancy. Climate change is adding to these impacts on Native American communities, variably causing drought, increased flooding and forced relocation affecting tribal water resources, traditional foods, forests and forest resources, and tribal health. This article will highlight several extramural research projects supported by the United States Environmental Protection Agency (USEPA) Science to Achieve Results (STAR) tribal environmental research grants as a mechanism to address the environmental health inequities and disparities faced by tribal communities. The tribal research portfolio has focused on addressing tribal environmental health risks through community based participatory research. Specifically, the STAR research program was developed under the premise that tribal populations may be at an increased risk for environmentally-induced diseases as a result of unique subsistence and traditional practices of the tribes and Alaska Native villages, community activities, occupations and customs, and/or environmental releases that significantly and disproportionately impact tribal lands. Through a series of case studies, this article will demonstrate how grantees-tribal community leaders and members and academic collaborators-have been addressing these complex environmental concerns by developing capacity, expertise and tools through community-engaged research.",INT J ENV RES PUB HE,APR,2015,10.3390/ijerph120404076,"Environmental Sciences; Public, Environmental & Occupational Health",CG7MT,WOS:000353488500043
Media Literacy as a Key Strategy toward Improving Public Acceptance of Climate Change Science,BIOSCIENCE,"Without public trust of climate change science, policymaking in a democratic society cannot address the serious threats that we face. Recent calls for proposals to increase climate literacy from federal agencies such as NASA, NOAA (National Oceanic and Atmospheric Administration), and the National Science Foundation illustrate the urgency of this crisis. Although more climate change education is certainly needed, focusing solely on climate literacy will not garner public trust and may leave out high-impact media literacy education. Climate change deniers have been more effective educators than scientists and science educators because their messages are (a) empowering, built on the premise that every individual can quickly learn enough to enter public discourse on climate change; and (b) delivered through many forms of media. A more effective strategy for scientists and science educators should include not only discourse approaches that enable trust, with emphasis on empowerment through reasoning skills, but also approaches that embrace the maturing discipline of media literacy education.",BIOSCIENCE,MAR,2011,10.1525/bio.2011.61.3.8,Biology,730QQ,WOS:000288049600008
Marketing Communication and Reputation Building of Leading European Oil and Gas Companies on Instagram,ENERGIES,"The overall transition towards a low-carbon economy is expected to pose a solution for several global problems, including the ongoing climate change while ensuring economic and social development. Large oil and gas companies are aware of the need to transform their business, turn to renewable and clean energy sources to build a positive image and reputation, and have the economic power to do so. This paper aims to evaluate the marketing communication of leading European oil and gas companies on their Instagram accounts in the context of reputation building through using social media and identify to what extent the companies reflect the environmental aspects of corporate social responsibility. Content analysis and the Social Blade tool were used to examine the marketing communication of the five biggest companies by revenue. All the companies are active on Instagram, but it has been found that the Russian companies have remained inactive and have even been losing followers since March 2022, when the war conflict in Ukraine started. Surprisingly, Shell uploaded only a few posts during the reference period but is recognized as the company achieving the highest social media effectiveness. Although all observed oil and gas companies continue their business as usual, they incorporate and communicate efforts to support the development of electromobility, clean and renewable energy projects, as well as ecological projects.",ENERGIES,NOV,2022,10.3390/en15228683,Energy & Fuels,6K0PG,WOS:000887215000001
